"name","Closing price","Volume","Adjusted closing price","date"
"AMRI",19.34,275132,19.34,2015-05-15
"AMRI",19.67,262004,19.67,2015-05-18
"AMRI",19.57,171017,19.57,2015-05-19
"AMRI",19.79,269399,19.79,2015-05-20
"AMRI",19.74,583367,19.74,2015-05-21
"AMRI",19.77,235155,19.77,2015-05-22
"AMRS",2.61,18212,2.61,2015-04-23
"AMRS",2.52,132219,2.52,2015-04-24
"AMRS",2.46,57832,2.46,2015-04-27
"AMRS",2.5,38759,2.5,2015-04-28
"AMRS",2.43,103182,2.43,2015-04-29
"AMRS",2.26,159957,2.26,2015-04-30
"AMRS",2.29,80707,2.29,2015-05-01
"AMRS",2.29,61164,2.29,2015-05-04
"AMRS",2.29,159738,2.29,2015-05-05
"AMRS",2.38,150837,2.38,2015-05-06
"AMRS",2.24,764903,2.24,2015-05-07
"AMRS",2.03,269957,2.03,2015-05-08
"AMRS",2.06,193153,2.06,2015-05-11
"AMRS",2.07,164977,2.07,2015-05-12
"AMRS",1.99,86881,1.99,2015-05-13
"AMRS",1.96,110520,1.96,2015-05-14
"AMRS",1.97,91993,1.97,2015-05-15
"AMRS",1.96,134073,1.96,2015-05-18
"AMRS",1.99,159289,1.99,2015-05-19
"AMRS",2.02,103732,2.02,2015-05-20
"AMRS",2.07,44155,2.07,2015-05-21
"AMRS",2.01,64128,2.01,2015-05-22
"AMSC",10,209453,10,2015-04-23
"AMSC",6.88,2450315,6.88,2015-04-24
"AMSC",7,316966,7,2015-04-27
"AMSC",6.7,193456,6.7,2015-04-28
"AMSC",6.7,123085,6.7,2015-04-29
"AMSC",6.47,289307,6.47,2015-04-30
"AMSC",6.64,128071,6.64,2015-05-01
"AMSC",6.49,131531,6.49,2015-05-04
"AMSC",6.67,226047,6.67,2015-05-05
"AMSC",6.51,138149,6.51,2015-05-06
"AMSC",6.55,77199,6.55,2015-05-07
"AMSC",6.51,91189,6.51,2015-05-08
"AMSC",6.54,85672,6.54,2015-05-11
"AMSC",6.54,96349,6.54,2015-05-12
"AMSC",6.5,115254,6.5,2015-05-13
"AMSC",6.47,55571,6.47,2015-05-14
"AMSC",6.43,68876,6.43,2015-05-15
"AMSC",6.4,78094,6.4,2015-05-18
"AMSC",6.43,222818,6.43,2015-05-19
"AMSC",6.33,83927,6.33,2015-05-20
"AMSC",6.4,44858,6.4,2015-05-21
"AMSC",6.32,56614,6.32,2015-05-22
"AMSF",45.92,31815,45.92,2015-04-23
"AMSF",46.07,45063,46.07,2015-04-24
"AMSF",45.15,41879,45.15,2015-04-27
"AMSF",46.5,48162,46.5,2015-04-28
"AMSF",46.11,61914,46.11,2015-04-29
"AMSF",45.19,109580,45.19,2015-04-30
"AMSF",45.68,79581,45.68,2015-05-01
"AMSF",45.25,110338,45.25,2015-05-04
"AMSF",44.66,55294,44.66,2015-05-05
"AMSF",44.51,46699,44.51,2015-05-06
"AMSF",43.9,68559,43.9,2015-05-07
"AMSF",44.22,56188,44.22,2015-05-08
"AMSF",44.145,67295,44.145,2015-05-11
"AMSF",43.69,27700,43.69,2015-05-12
"AMSF",43.84,37468,43.84,2015-05-13
"AMSF",44.6,37117,44.6,2015-05-14
"AMSF",44.04,30600,44.04,2015-05-15
"AMSF",44.63,55841,44.63,2015-05-18
"AMSF",44.77,36557,44.77,2015-05-19
"AMSF",44.33,56353,44.33,2015-05-20
"AMSF",43.66,58812,43.66,2015-05-21
"AMSF",43.13,53597,43.13,2015-05-22
"AMSG",65.29,160186,65.29,2015-04-23
"AMSG",65.33,127031,65.33,2015-04-24
"AMSG",64.1,186201,64.1,2015-04-27
"AMSG",65.07,227728,65.07,2015-04-28
"AMSG",63.82,256550,63.82,2015-04-29
"AMSG",62.72,406219,62.72,2015-04-30
"AMSG",63.38,280171,63.38,2015-05-01
"AMSG",64.09,315900,64.09,2015-05-04
"AMSG",62.54,469636,62.54,2015-05-05
"AMSG",63.56,593642,63.56,2015-05-06
"AMSG",65.51,458206,65.51,2015-05-07
